idx	weapon	skin	keychain	scope	background

1.png	deagle         None disco     dot       purple    
161.png	l96            2    None      acog      blue      
162.png	revolver       6    None      acog      blue      
163.png	mp5            7    leaf      dot       blue      
164.png	hunting_rifle  7    leaf      holo      red       
165.png	db             3    leaf      acog      green     
166.png	l96            1    disco     acog      green     
167.png	spaz           None dice      dot       blue      
168.png	revolver       1    None      acog      red       
169.png	deagle         1    None      dot       red       
170.png	l96            None disco     acog      green     
171.png	l96            8    None      None      green     
172.png	hunting_rifle  1    None      None      purple    
173.png	deagle         8    None      None      green     
174.png	db             None None      acog      purple    
175.png	deagle         4    None      None      blue      
176.png	mp5            8    disco     holo      purple    
177.png	mp5            5    None      dot       purple    
178.png	spaz           6    None      None      blue      
179.png	revolver       6    medal     dot       purple    
180.png	deagle         None None      dot       red       
181.png	mp5            6    medal     None      blue      
182.png	spaz           3    None      holo      green     
183.png	spaz           6    leaf      holo      blue      
184.png	mp5            8    pinata    dot       purple    
185.png	revolver       None None      dot       green     
186.png	ak47           7    None      dot       green     
187.png	deagle         1    None      None      blue      
188.png	hunting_rifle  4    None      dot       blue      
189.png	hunting_rifle  5    leaf      dot       green     
190.png	p90            6    None      dot       red       
191.png	tar            None None      None      blue      
192.png	p90            None leaf      acog      blue      
193.png	deagle         1    dice      None      purple    
194.png	mp5            3    None      None      blue      
195.png	mp5            2    None      acog      blue      
196.png	ray_gun        3    None      acog      blue      
197.png	hunting_rifle  None None      holo      blue      
198.png	tar            5    disco     acog      purple    
199.png	p90            7    None      acog      red       
200.png	deagle         2    None      holo      green     
201.png	p90            6    leaf      dot       blue      
202.png	l96            2    None      dot       green     
203.png	deagle         1    leaf      acog      green     
204.png	spaz           1    None      None      blue      
205.png	revolver       1    leaf      thermal   green     
206.png	mp5            5    None      holo      green     
207.png	mp5            3    None      thermal   red       
208.png	hunting_rifle  6    dice      dot       purple    
209.png	db             3    None      acog      blue      
210.png	tar            7    pinata    acog      blue      
211.png	l96            3    None      dot       blue      
212.png	db             None dice      acog      blue      
213.png	mp5            7    None      None      blue      
214.png	p90            3    disco     None      green     
215.png	spaz           1    leaf      None      green     
216.png	hunting_rifle  3    None      None      green     
217.png	spaz           6    None      holo      blue      
218.png	knife          7    None      None      blue      
219.png	p90            None leaf      dot       green     
220.png	deagle         4    None      dot       purple    
221.png	mp5            7    dice      dot       green     
222.png	p90            3    disco     None      green     
223.png	revolver       4    disco     None      blue      
224.png	ak47           5    None      holo      green     
225.png	p90            8    None      None      blue      
226.png	mp5            None None      None      blue      
227.png	mp5            1    dice      holo      green     
228.png	deagle         7    None      dot       green     
229.png	spaz           1    medal     holo      blue      
230.png	spaz           None None      holo      blue      
231.png	db             None dice      None      blue      
232.png	deagle         5    disco     None      red       
233.png	mp5            None disco     holo      blue      
234.png	revolver       None None      None      purple    
235.png	hunting_rifle  7    disco     dot       blue      
236.png	revolver       7    dice      None      blue      
237.png	db             4    None      None      green     
238.png	deagle         5    None      None      green     
239.png	hunting_rifle  5    None      acog      blue      
240.png	hunting_rifle  6    leaf      dot       purple    
241.png	mp5            1    None      None      green     
242.png	db             2    medal     None      green     
243.png	p90            None disco     acog      blue      
244.png	revolver       6    None      None      blue      
245.png	revolver       None None      holo      green     
246.png	mp5            None None      None      green     
247.png	revolver       7    None      holo      blue      
248.png	deagle         1    medal     dot       purple    
249.png	mp5            None pinata    acog      purple    
250.png	db             None None      thermal   green     
251.png	spaz           None None      acog      green     
252.png	rpg            None None      acog      blue      
253.png	mp5            4    None      None      green     
254.png	p90            5    None      acog      green     
255.png	mp5            2    leaf      thermal   blue      
256.png	revolver       6    None      dot       blue      
257.png	revolver       5    None      acog      green     
258.png	revolver       7    None      None      green     
259.png	db             2    leaf      holo      green     
260.png	db             4    None      dot       blue      
261.png	revolver       2    None      holo      green     
262.png	mp5            2    dice      dot       green     
263.png	db             None None      None      green     
264.png	tar            7    leaf      thermal   purple    
265.png	hunting_rifle  1    None      acog      purple    
266.png	revolver       5    None      thermal   green     
267.png	mp5            1    medal     holo      blue      
268.png	mp5            5    dice      dot       green     
269.png	l96            1    dice      holo      purple    
270.png	tar            3    None      None      purple    
271.png	ak47           5    leaf      None      blue      
272.png	hunting_rifle  4    leaf      acog      blue      
273.png	l96            2    dice      None      green     
274.png	deagle         None dice      holo      purple    
275.png	l96            None None      acog      green     
276.png	deagle         5    None      dot       blue      
277.png	tar            1    None      dot       blue      
278.png	mp5            2    None      dot       green     
279.png	ak47           None None      dot       blue      
280.png	tar            9    disco     None      green     
281.png	spaz           4    None      holo      green     
282.png	ray_gun        6    disco     None      red       
283.png	l96            2    None      None      green     
284.png	revolver       5    None      dot       purple    
285.png	db             1    None      None      green     
286.png	mp5            None disco     acog      green     
287.png	p90            1    dice      holo      blue      
288.png	db             1    None      None      green     
289.png	db             7    leaf      dot       blue      
290.png	p90            3    leaf      None      blue      
291.png	db             None dice      dot       blue      
292.png	deagle         2    leaf      dot       green     
293.png	spaz           7    None      None      green     
294.png	p90            1    None      holo      green     
295.png	hunting_rifle  None leaf      dot       green     
296.png	deagle         5    None      None      blue      
297.png	l96            None None      holo      green     
298.png	hunting_rifle  6    leaf      None      red       
299.png	mp5            None dice      acog      blue      
300.png	revolver       2    leaf      dot       green     
301.png	db             1    medal     None      blue      
302.png	revolver       None None      dot       blue      
303.png	spaz           2    leaf      dot       blue      
304.png	mp5            None dice      acog      blue      
305.png	db             2    disco     None      green     
306.png	spaz           3    None      acog      red       
307.png	revolver       1    None      dot       green     
308.png	l96            2    disco     dot       blue      
309.png	l96            None None      dot       green     
310.png	spaz           None leaf      acog      green     
311.png	revolver       7    disco     acog      green     
312.png	deagle         3    medal     dot       red       
313.png	l96            2    None      None      blue      
314.png	revolver       7    None      holo      blue      
315.png	l96            1    None      None      blue      
316.png	ak47           8    None      holo      green     
317.png	hunting_rifle  2    leaf      dot       green     
318.png	db             8    None      None      blue      
319.png	l96            2    None      None      red       
320.png	hunting_rifle  None None      None      blue      
321.png	revolver       5    disco     dot       purple    
322.png	deagle         5    None      None      blue      
323.png	p90            1    None      holo      green     
324.png	db             7    None      None      green     
325.png	revolver       1    leaf      None      green     
326.png	db             1    None      holo      blue      
327.png	l96            7    None      None      green     
328.png	spaz           6    leaf      dot       blue      
329.png	mp5            1    medal     acog      green     
330.png	spaz           4    None      thermal   blue      
331.png	p90            8    medal     acog      blue      
332.png	mp5            None None      None      green     
333.png	deagle         6    None      dot       green     
334.png	mp5            1    None      None      blue      
335.png	hunting_rifle  5    None      None      green     
336.png	revolver       6    dice      None      blue      
337.png	db             1    None      dot       green     
338.png	deagle         None None      dot       green     
339.png	deagle         None dice      thermal   green     
340.png	db             5    leaf      dot       blue      
341.png	revolver       1    leaf      None      red       
342.png	p90            1    None      dot       green     
343.png	hunting_rifle  2    dice      None      green     
344.png	revolver       3    None      holo      purple    
345.png	spaz           7    None      None      green     
346.png	hunting_rifle  5    None      None      green     
347.png	spaz           2    None      holo      purple    
348.png	rpg            4    leaf      dot       purple    
349.png	mp5            None disco     dot       blue      
350.png	deagle         None None      None      green     
351.png	db             8    leaf      acog      green     
352.png	spaz           2    None      acog      green     
353.png	db             1    None      holo      blue      
354.png	hunting_rifle  1    medal     acog      green     
355.png	p90            3    disco     None      blue      
356.png	deagle         7    None      None      green     
357.png	deagle         7    disco     dot       blue      
358.png	spaz           2    leaf      dot       blue      
359.png	db             2    None      holo      purple    
360.png	hunting_rifle  6    None      dot       purple    
361.png	spaz           8    None      None      blue      
362.png	db             6    None      None      blue      
363.png	p90            4    None      holo      blue      
364.png	p90            None pinata    dot       green     
365.png	p90            None None      dot       red       
366.png	db             5    disco     None      green     
367.png	deagle         2    None      None      blue      
368.png	spaz           1    None      None      green     
369.png	mp5            1    leaf      None      green     
370.png	revolver       4    None      acog      purple    
371.png	hunting_rifle  4    disco     acog      blue      
372.png	l96            6    None      None      green     
373.png	deagle         7    pinata    acog      green     
374.png	deagle         5    None      dot       purple    
375.png	revolver       1    None      holo      green     
376.png	deagle         4    leaf      None      purple    
377.png	mp5            7    disco     None      purple    
378.png	spaz           1    leaf      dot       blue      
379.png	p90            None leaf      holo      blue      
380.png	l96            6    dice      None      blue      
381.png	hunting_rifle  2    None      dot       green     
382.png	p90            1    leaf      None      blue      
383.png	deagle         None leaf      acog      blue      
384.png	mp5            None None      None      green     
385.png	mp5            None leaf      acog      blue      
386.png	db             3    None      acog      green     
387.png	revolver       None leaf      dot       blue      
388.png	spaz           5    None      None      blue      
389.png	deagle         8    None      None      purple    
390.png	revolver       3    medal     dot       blue      
391.png	revolver       None None      None      blue      
392.png	spaz           3    None      acog      purple    
393.png	rpg            4    None      acog      blue      
394.png	mp5            4    None      acog      green     
395.png	revolver       2    None      thermal   red       
396.png	hunting_rifle  4    None      None      green     
397.png	db             6    leaf      None      purple    
398.png	db             4    None      holo      green     
399.png	hunting_rifle  5    dice      None      green     
400.png	deagle         2    None      None      green     
401.png	revolver       1    leaf      acog      green     
402.png	mp5            5    medal     acog      green     
403.png	rpg            3    None      holo      purple    
404.png	ray_gun        4    dice      None      purple    
405.png	deagle         1    None      holo      blue      
406.png	mp5            3    None      None      green     
407.png	spaz           4    None      holo      blue      
408.png	deagle         2    medal     holo      green     
409.png	deagle         4    leaf      holo      green     
410.png	l96            2    None      dot       green     
411.png	revolver       6    leaf      acog      green     
412.png	spaz           3    None      None      blue      
413.png	mp5            None dice      holo      blue      
414.png	mp5            2    None      dot       green     
415.png	db             1    leaf      holo      blue      
416.png	l96            3    medal     dot       purple    
417.png	rpg            2    None      holo      blue      
418.png	p90            None dice      acog      red       
419.png	db             5    leaf      dot       blue      
420.png	l96            2    None      dot       green     
421.png	p90            4    leaf      None      green     
422.png	p90            4    None      acog      green     
423.png	revolver       None None      None      red       
424.png	deagle         4    dice      dot       purple    
425.png	spaz           2    None      dot       red       
426.png	p90            3    None      None      green     
427.png	hunting_rifle  8    None      None      blue      
428.png	db             7    None      None      blue      
429.png	db             5    None      holo      blue      
430.png	revolver       1    pinata    None      green     
431.png	spaz           None None      acog      purple    
432.png	ak47           None disco     None      green     
433.png	db             3    disco     dot       green     
434.png	mp5            4    None      acog      green     
435.png	db             1    None      dot       red       
436.png	spaz           None None      acog      green     
437.png	mp5            8    None      None      green     
438.png	p90            4    leaf      None      green     
439.png	l96            None None      dot       blue      
440.png	p90            None None      None      purple    
441.png	ak47           None None      thermal   blue      
442.png	spaz           5    leaf      dot       purple    
443.png	tar            1    leaf      dot       green     
444.png	db             None disco     holo      green     
445.png	spaz           None medal     thermal   purple    
446.png	l96            3    leaf      dot       green     
447.png	spaz           6    medal     holo      green     
448.png	ak47           6    None      None      green     
449.png	p90            4    disco     holo      red       
450.png	mp5            4    leaf      dot       purple    
451.png	db             8    medal     dot       red       
452.png	mp5            1    None      dot       green     
453.png	revolver       1    None      acog      blue      
454.png	rpg            5    None      None      blue      
455.png	spaz           2    None      holo      blue      
456.png	mp5            6    None      holo      blue      
457.png	mp5            None leaf      holo      green     
458.png	mp5            1    None      thermal   green     
459.png	deagle         7    None      dot       blue      
460.png	p90            6    medal     None      blue      
461.png	p90            3    pinata    acog      green     
462.png	deagle         1    medal     None      blue      
463.png	hunting_rifle  None pinata    holo      blue      
464.png	db             4    dice      acog      green     
465.png	hunting_rifle  2    None      acog      green     
466.png	deagle         2    None      None      blue      
467.png	p90            None None      acog      green     
468.png	hunting_rifle  2    None      holo      purple    
469.png	hunting_rifle  2    dice      None      green     
470.png	db             1    None      acog      green     
471.png	spaz           1    None      None      green     
472.png	deagle         7    None      thermal   green     
473.png	l96            None leaf      dot       blue      
474.png	deagle         4    pinata    None      blue      
475.png	mp5            None leaf      None      blue      
476.png	revolver       4    disco     dot       purple    
477.png	p90            5    medal     acog      blue      
478.png	hunting_rifle  1    pinata    dot       red       
479.png	hunting_rifle  2    None      thermal   blue      
480.png	spaz           7    disco     None      blue      
481.png	tar            None dice      None      purple    
482.png	p90            3    disco     None      red       
483.png	mp5            1    medal     dot       green     
484.png	mp5            2    None      holo      green     
485.png	mp5            2    None      None      green     
486.png	spaz           1    leaf      None      green     
487.png	hunting_rifle  4    None      acog      blue      
488.png	db             None leaf      acog      red       
489.png	p90            None medal     holo      blue      
490.png	revolver       None None      acog      blue      
491.png	spaz           1    disco     holo      green     
492.png	hunting_rifle  6    leaf      None      green     
493.png	db             None dice      None      blue      
494.png	db             4    leaf      dot       blue      
495.png	mp5            7    pinata    acog      green     
496.png	p90            2    dice      dot       blue      
497.png	revolver       1    None      dot       blue      
498.png	p90            3    None      holo      green     
499.png	tar            None None      holo      green     
500.png	p90            7    None      acog      green     
501.png	l96            1    disco     thermal   green     
502.png	db             None None      acog      blue      
503.png	deagle         5    None      dot       blue      
504.png	spaz           None leaf      acog      purple    
505.png	p90            2    None      None      blue      
506.png	p90            None dice      None      blue      
507.png	db             7    leaf      acog      purple    
508.png	db             None None      dot       green     
509.png	revolver       6    None      dot       blue      
510.png	l96            None disco     None      blue      
511.png	spaz           None None      holo      purple    
512.png	tar            None dice      dot       blue      
513.png	db             1    leaf      None      green     
514.png	deagle         None None      dot       blue      
515.png	hunting_rifle  8    None      None      red       
516.png	l96            2    None      None      green     
517.png	db             1    dice      None      purple    
518.png	hunting_rifle  None None      None      blue      
519.png	hunting_rifle  None None      acog      green     
520.png	ak47           None None      dot       green     
521.png	spaz           None None      dot       blue      
522.png	revolver       5    None      None      green     
523.png	mp5            None leaf      None      green     
524.png	revolver       1    None      acog      purple    
525.png	revolver       None None      dot       blue      
526.png	mp5            None None      holo      blue      
527.png	deagle         None None      None      blue      
528.png	db             1    None      dot       green     
529.png	mp5            7    None      None      blue      
530.png	db             4    None      None      green     
531.png	spaz           3    None      holo      green     
532.png	db             1    None      holo      blue      
533.png	l96            3    None      dot       blue      
534.png	deagle         5    dice      dot       green     
535.png	revolver       6    None      None      blue      
536.png	mp5            6    dice      None      green     
537.png	p90            7    None      acog      green     
538.png	mp5            None None      thermal   blue      
539.png	db             5    None      dot       green     
540.png	mp5            4    None      holo      blue      
541.png	revolver       5    dice      holo      green     
542.png	mp5            None dice      acog      green     
543.png	deagle         2    leaf      None      green     
544.png	revolver       6    medal     None      green     
545.png	p90            7    leaf      None      blue      
546.png	deagle         4    None      dot       green     
547.png	deagle         1    dice      None      purple    
548.png	revolver       2    disco     holo      green     
549.png	revolver       None leaf      acog      blue      
550.png	revolver       7    leaf      None      blue      
551.png	hunting_rifle  6    None      None      green     
552.png	deagle         2    None      None      green     
553.png	ak47           8    None      acog      blue      
554.png	ak47           6    None      None      blue      
555.png	mp5            5    None      dot       green     
556.png	spaz           2    None      None      green     
557.png	revolver       7    leaf      None      green     
558.png	mp5            1    None      None      purple    
559.png	revolver       4    None      dot       green     
560.png	spaz           8    pinata    None      purple    
561.png	spaz           3    None      holo      blue      
562.png	db             3    dice      dot       purple    
563.png	hunting_rifle  2    None      None      purple    
564.png	mp5            8    None      None      green     
565.png	l96            1    None      thermal   green     
566.png	p90            3    leaf      dot       purple    
567.png	p90            1    None      acog      purple    
568.png	db             5    None      dot       green     
569.png	spaz           None None      acog      green     
570.png	hunting_rifle  2    None      holo      purple    
571.png	revolver       2    None      None      purple    
572.png	mp5            4    None      acog      green     
573.png	revolver       8    pinata    acog      green     
574.png	revolver       5    None      dot       blue      
575.png	deagle         5    None      acog      green     
576.png	tar            None None      acog      blue      
577.png	db             8    None      dot       blue      
578.png	l96            3    pinata    dot       green     
579.png	deagle         4    None      dot       blue      
580.png	deagle         6    None      acog      green     
581.png	l96            3    None      None      blue      
582.png	revolver       7    None      acog      green     
583.png	mp5            1    None      dot       blue      
584.png	spaz           None None      None      blue      
585.png	revolver       4    None      acog      green     
586.png	revolver       None leaf      None      green     
587.png	revolver       None None      holo      green     
588.png	deagle         5    None      holo      green     
589.png	mp5            3    None      holo      green     
590.png	l96            None pinata    holo      green     
591.png	mp5            1    None      None      blue      
592.png	mp5            8    leaf      holo      purple    
593.png	ray_gun        7    leaf      None      green     
594.png	p90            7    None      dot       green     
595.png	revolver       1    medal     None      green     
596.png	l96            2    medal     acog      blue      
597.png	mp5            2    medal     dot       green     
598.png	p90            7    None      dot       purple    
599.png	db             2    medal     None      green     
600.png	mp5            7    pinata    None      green     
601.png	spaz           4    None      None      green     
602.png	spaz           None None      None      blue      
603.png	mp5            2    None      dot       purple    
604.png	mp5            7    medal     acog      blue      
605.png	rpg            5    None      holo      green     
606.png	mp5            3    leaf      dot       purple    
607.png	tar            5    None      dot       green     
608.png	p90            7    leaf      None      purple    
609.png	p90            1    medal     dot       green     
610.png	mp5            None leaf      None      purple    
611.png	db             3    leaf      dot       blue      
612.png	spaz           None disco     None      blue      
613.png	spaz           2    disco     dot       purple    
614.png	db             4    None      thermal   green     
615.png	p90            2    leaf      None      blue      
616.png	revolver       7    None      None      blue      
617.png	l96            7    None      thermal   blue      
618.png	db             2    disco     None      blue      
619.png	spaz           None disco     dot       red       
620.png	spaz           8    None      holo      purple    
621.png	p90            2    pinata    dot       green     
622.png	hunting_rifle  3    disco     holo      green     
623.png	tar            1    None      holo      blue      
624.png	mp5            None None      None      green     
625.png	spaz           None leaf      acog      blue      
626.png	p90            3    medal     None      blue      
627.png	spaz           4    None      thermal   green     
628.png	spaz           6    None      holo      green     
629.png	p90            4    disco     acog      blue      
630.png	spaz           None None      holo      green     
631.png	hunting_rifle  3    dice      dot       green     
632.png	deagle         3    disco     acog      red       
633.png	hunting_rifle  1    None      acog      green     
634.png	spaz           None None      acog      blue      
635.png	mp5            None None      acog      blue      
636.png	l96            5    None      holo      green     
637.png	deagle         6    None      holo      green     
638.png	p90            None medal     acog      blue      
639.png	ak47           6    None      acog      green     
640.png	db             5    dice      thermal   purple    
641.png	spaz           2    None      None      purple    
642.png	mp5            3    None      None      green     
643.png	db             4    None      acog      blue      
644.png	spaz           5    leaf      thermal   blue      
645.png	hunting_rifle  7    leaf      acog      blue      
646.png	spaz           None None      None      blue      
647.png	rpg            None None      None      green     
648.png	deagle         5    None      dot       purple    
649.png	revolver       3    pinata    dot       purple    
650.png	ak47           5    None      None      green     
651.png	spaz           1    None      None      purple    
652.png	deagle         5    None      acog      purple    
653.png	deagle         4    pinata    holo      blue      
654.png	spaz           None leaf      holo      green     
655.png	spaz           4    None      holo      blue      
656.png	hunting_rifle  1    leaf      None      blue      
657.png	deagle         2    medal     acog      green     
658.png	spaz           1    pinata    None      blue      
659.png	l96            1    leaf      acog      green     
660.png	deagle         6    None      acog      green     
661.png	deagle         7    leaf      acog      green     
662.png	revolver       6    medal     acog      blue      
663.png	spaz           5    None      thermal   blue      
664.png	db             1    None      acog      green     
665.png	l96            4    None      acog      blue      
666.png	revolver       4    None      holo      green     
667.png	deagle         5    None      None      green     
668.png	revolver       2    disco     acog      blue      
669.png	spaz           1    leaf      holo      purple    
670.png	db             1    disco     acog      purple    
671.png	p90            7    disco     None      blue      
672.png	deagle         4    None      dot       blue      
673.png	tar            3    None      dot       blue      
674.png	deagle         3    None      None      purple    
675.png	deagle         4    medal     dot       green     
676.png	mp5            None None      thermal   blue      
677.png	mp5            2    leaf      dot       red       
678.png	rpg            5    None      holo      green     
679.png	l96            5    pinata    None      blue      
680.png	mp5            1    leaf      holo      green     
681.png	p90            None leaf      dot       blue      
682.png	p90            6    None      acog      red       
683.png	mp5            3    None      dot       purple    
684.png	tar            None leaf      None      blue      
685.png	deagle         None None      None      green     
686.png	revolver       None leaf      None      green     
687.png	l96            6    dice      None      green     
688.png	hunting_rifle  None leaf      dot       blue      
689.png	spaz           None None      dot       blue      
690.png	revolver       6    leaf      dot       green     
691.png	deagle         4    None      None      green     
692.png	hunting_rifle  1    pinata    acog      purple    
693.png	l96            4    None      None      green     
694.png	mp5            None pinata    thermal   green     
695.png	hunting_rifle  5    None      dot       green     
696.png	hunting_rifle  1    None      dot       green     
697.png	db             2    None      holo      green     
698.png	spaz           2    medal     None      green     
699.png	revolver       None None      acog      blue      
700.png	tar            5    None      acog      green     
701.png	spaz           None None      acog      purple    
702.png	spaz           1    dice      None      green     
703.png	hunting_rifle  4    None      None      green     
704.png	db             7    None      holo      green     
705.png	hunting_rifle  7    disco     None      purple    
706.png	hunting_rifle  7    leaf      dot       red       
707.png	ak47           3    None      dot       green     
708.png	spaz           2    leaf      dot       blue      
709.png	deagle         8    None      acog      red       
710.png	db             None pinata    acog      blue      
711.png	deagle         4    medal     acog      purple    
712.png	tar            4    None      None      blue      
713.png	mp5            2    None      None      green     
714.png	l96            5    None      acog      blue      
715.png	mp5            5    None      dot       purple    
716.png	p90            None None      holo      red       
717.png	db             None leaf      None      green     
718.png	deagle         3    None      holo      green     
719.png	revolver       7    None      None      green     
720.png	deagle         None None      None      green     
721.png	p90            2    leaf      acog      green     
722.png	revolver       1    medal     dot       green     
723.png	deagle         2    None      holo      green     
724.png	mp5            3    disco     None      green     
725.png	mp5            1    medal     holo      blue      
726.png	spaz           2    None      None      green     
727.png	mp5            None medal     None      purple    
728.png	spaz           None None      acog      green     
729.png	db             None None      None      blue      
730.png	hunting_rifle  7    pinata    holo      green     
731.png	spaz           None None      None      green     
732.png	deagle         4    None      dot       red       
733.png	deagle         None leaf      dot       blue      
734.png	rpg            5    None      dot       green     
735.png	hunting_rifle  6    leaf      dot       purple    
736.png	revolver       3    leaf      thermal   green     
737.png	spaz           3    disco     acog      blue      
738.png	revolver       1    pinata    None      red       
739.png	ak47           4    None      holo      blue      
740.png	mp5            1    disco     None      green     
741.png	revolver       None None      dot       green     
742.png	revolver       7    None      None      purple    
743.png	l96            1    leaf      acog      red       
744.png	revolver       7    None      acog      green     
745.png	revolver       1    None      dot       purple    
746.png	p90            8    dice      dot       green     
747.png	p90            1    None      dot       green     
748.png	db             6    leaf      holo      green     
749.png	l96            1    medal     None      green     
