idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
354.png	p90            None None      None      green     
355.png	p90            1    disco     None      blue      
356.png	db             None disco     dot       blue      
357.png	db             1    dice      None      purple    
358.png	deagle         4    dice      holo      blue      
359.png	spaz           1    leaf      None      red       
360.png	l96            2    leaf      holo      purple    
361.png	p90            7    None      None      red       
362.png	p90            1    None      holo      blue      
363.png	revolver       7    None      holo      green     
364.png	hunting_rifle  1    None      acog      purple    
365.png	mp5            None disco     thermal   blue      
366.png	deagle         4    None      acog      blue      
367.png	spaz           4    disco     acog      blue      
368.png	db             5    None      None      green     
369.png	db             4    medal     None      purple    
370.png	spaz           3    None      thermal   blue      
371.png	db             4    leaf      dot       green     
372.png	ak47           7    leaf      dot       blue      
373.png	spaz           1    dice      dot       green     
374.png	deagle         1    None      None      blue      
375.png	p90            2    None      None      green     
376.png	deagle         1    leaf      dot       purple    
377.png	tar            6    dice      holo      blue      
378.png	revolver       2    None      dot       blue      
379.png	hunting_rifle  1    None      thermal   blue      
380.png	p90            5    medal     acog      blue      
381.png	revolver       3    dice      None      blue      
382.png	revolver       None leaf      dot       green     
383.png	deagle         2    None      None      purple    
384.png	spaz           None disco     None      green     
385.png	db             2    pinata    None      green     
386.png	revolver       2    leaf      None      green     
387.png	mp5            1    disco     acog      blue      
388.png	deagle         2    None      acog      green     
389.png	p90            1    leaf      dot       blue      
390.png	spaz           None None      None      purple    
391.png	p90            1    medal     None      blue      
392.png	revolver       7    medal     acog      green     
393.png	mp5            1    leaf      acog      green     
394.png	revolver       3    disco     dot       green     
395.png	ak47           2    dice      None      blue      
396.png	db             4    leaf      dot       purple    
397.png	mp5            8    pinata    None      green     
398.png	tar            1    leaf      acog      green     
399.png	deagle         None leaf      None      blue      
400.png	revolver       6    leaf      None      green     
401.png	mp5            3    leaf      dot       green     
402.png	l96            7    None      acog      purple    
403.png	spaz           None None      acog      blue      
404.png	deagle         None None      acog      green     
405.png	spaz           3    leaf      dot       blue      
406.png	revolver       None None      None      green     
407.png	p90            1    None      dot       purple    
408.png	revolver       6    None      holo      blue      
409.png	l96            1    disco     dot       green     
410.png	ak47           2    None      acog      blue      
411.png	deagle         6    None      None      blue      
412.png	db             7    None      holo      green     
413.png	hunting_rifle  1    leaf      holo      blue      
414.png	spaz           1    None      thermal   blue      
415.png	deagle         5    dice      None      green     
416.png	deagle         2    None      None      red       
417.png	deagle         2    None      acog      blue      
418.png	hunting_rifle  7    leaf      dot       blue      
419.png	deagle         2    None      dot       red       
420.png	ak47           7    medal     holo      green     
421.png	revolver       2    None      dot       blue      
422.png	mp5            6    None      holo      purple    
423.png	spaz           None None      None      purple    
424.png	revolver       2    medal     dot       blue      
425.png	p90            1    dice      dot       green     
426.png	l96            7    None      acog      green     
427.png	revolver       None medal     acog      green     
428.png	l96            2    disco     acog      blue      
429.png	hunting_rifle  5    medal     dot       green     
430.png	mp5            2    leaf      acog      green     
431.png	p90            2    None      acog      blue      
432.png	db             1    None      holo      green     
433.png	p90            4    None      dot       green     
434.png	revolver       None disco     dot       blue      
435.png	mp5            1    None      dot       green     
436.png	revolver       None disco     acog      green     
437.png	revolver       None None      dot       blue      
438.png	spaz           None dice      dot       green     
439.png	deagle         None None      holo      green     
440.png	revolver       7    None      None      blue      
441.png	mp5            1    None      dot       blue      
442.png	spaz           None leaf      None      blue      
443.png	spaz           1    disco     holo      purple    
444.png	hunting_rifle  None None      dot       purple    
445.png	db             8    None      None      purple    
446.png	deagle         7    None      dot       green     
447.png	revolver       None dice      dot       green     
448.png	revolver       8    None      None      blue      
449.png	revolver       6    disco     None      red       
450.png	revolver       1    None      None      purple    
451.png	deagle         3    None      dot       green     
452.png	revolver       None None      dot       green     
453.png	mp5            3    medal     dot       green     
454.png	revolver       1    dice      acog      blue      
455.png	db             1    leaf      dot       green     
456.png	mp5            None dice      acog      blue      
457.png	spaz           None leaf      None      blue      
458.png	deagle         3    leaf      None      red       
459.png	l96            3    None      thermal   green     
460.png	p90            None None      acog      green     
461.png	db             None None      acog      purple    
462.png	revolver       None leaf      acog      blue      
463.png	revolver       1    leaf      acog      blue      
464.png	revolver       5    None      dot       green     
465.png	l96            6    leaf      dot       blue      
466.png	deagle         6    None      acog      blue      
467.png	db             1    medal     None      purple    
468.png	hunting_rifle  2    medal     None      green     
469.png	revolver       None None      None      red       
470.png	spaz           2    pinata    dot       purple    
471.png	db             1    None      None      blue      
472.png	mp5            None disco     holo      green     
473.png	spaz           1    medal     dot       purple    
474.png	spaz           4    leaf      holo      green     
475.png	hunting_rifle  2    leaf      holo      green     
476.png	p90            6    None      None      blue      
477.png	deagle         1    dice      None      blue      
478.png	p90            None dice      None      green     
479.png	deagle         None disco     holo      green     
480.png	spaz           4    None      holo      green     
481.png	db             1    leaf      holo      green     
482.png	spaz           None leaf      None      blue      
483.png	deagle         None None      dot       green     
484.png	l96            None None      holo      green     
485.png	hunting_rifle  6    None      acog      green     
486.png	mp5            6    None      holo      blue      
487.png	mp5            8    leaf      acog      green     
488.png	spaz           3    None      None      blue      
489.png	revolver       3    None      None      blue      
490.png	tar            1    None      None      blue      
491.png	spaz           4    leaf      None      green     
492.png	revolver       4    None      acog      green     
493.png	mp5            None leaf      acog      blue      
494.png	deagle         6    dice      acog      blue      
495.png	rpg            1    pinata    None      blue      
496.png	db             2    None      dot       blue      
497.png	mp5            3    leaf      thermal   blue      
498.png	mp5            None disco     acog      blue      
499.png	spaz           5    None      dot       blue      
500.png	l96            5    leaf      thermal   blue      
501.png	db             6    None      None      blue      
502.png	mp5            None leaf      dot       green     
503.png	db             4    None      dot       green     
504.png	l96            6    leaf      None      purple    
505.png	p90            2    None      None      purple    
506.png	mp5            8    dice      acog      blue      
507.png	mp5            3    None      acog      purple    
508.png	deagle         6    None      None      green     
509.png	hunting_rifle  None None      None      green     
510.png	deagle         4    leaf      holo      blue      
511.png	spaz           5    disco     holo      blue      
512.png	revolver       6    leaf      None      green     
513.png	deagle         6    None      dot       purple    
514.png	hunting_rifle  5    None      acog      green     
515.png	p90            8    None      None      purple    
516.png	tar            1    None      dot       green     
517.png	mp5            2    None      thermal   blue      
518.png	revolver       None None      dot       blue      
519.png	hunting_rifle  1    medal     acog      blue      
520.png	revolver       3    None      dot       blue      
521.png	mp5            None None      None      purple    
522.png	mp5            None None      acog      green     
523.png	revolver       1    leaf      holo      blue      
524.png	revolver       None leaf      None      green     
525.png	revolver       3    dice      None      blue      
526.png	spaz           7    None      dot       green     
527.png	deagle         8    disco     None      purple    
528.png	revolver       None None      None      blue      
529.png	db             8    None      None      blue      
530.png	ray_gun        8    None      None      purple    
531.png	ak47           5    None      thermal   green     
532.png	p90            8    None      holo      green     
533.png	p90            8    None      acog      blue      
534.png	db             1    disco     acog      green     
535.png	p90            None None      acog      red       
536.png	hunting_rifle  1    None      None      blue      
537.png	mp5            6    medal     acog      red       
538.png	spaz           1    None      None      blue      
539.png	deagle         1    None      thermal   blue      
540.png	ak47           6    pinata    acog      green     
541.png	db             5    None      None      blue      
542.png	deagle         5    pinata    thermal   blue      
543.png	deagle         None pinata    dot       green     
544.png	l96            3    leaf      acog      green     
545.png	mp5            8    leaf      acog      blue      
546.png	deagle         4    None      dot       blue      
547.png	l96            None None      None      green     
548.png	revolver       None None      holo      blue      
549.png	l96            None leaf      None      green     
550.png	rpg            5    dice      dot       purple    
551.png	deagle         4    None      dot       green     
552.png	spaz           1    None      acog      purple    
553.png	mp5            4    None      None      green     
554.png	p90            8    disco     dot       blue      
555.png	spaz           7    None      dot       blue      
556.png	p90            4    None      acog      green     
557.png	spaz           8    leaf      acog      green     
558.png	spaz           5    None      dot       green     
559.png	db             3    None      None      blue      
560.png	db             6    None      dot       red       
561.png	l96            None medal     None      green     
562.png	p90            1    leaf      None      blue      
563.png	revolver       1    None      None      green     
564.png	revolver       2    None      None      red       
565.png	deagle         2    leaf      dot       red       
566.png	db             1    medal     holo      blue      
567.png	deagle         None None      None      blue      
568.png	hunting_rifle  None leaf      None      blue      
569.png	ak47           2    medal     None      blue      
570.png	mp5            1    None      None      green     
571.png	p90            7    None      None      blue      
572.png	rpg            None leaf      acog      green     
573.png	hunting_rifle  None medal     holo      purple    
574.png	revolver       3    None      None      blue      
575.png	mp5            5    None      None      blue      
576.png	mp5            None None      None      green     
577.png	deagle         None disco     None      purple    
578.png	revolver       4    None      thermal   blue      
579.png	hunting_rifle  3    None      dot       purple    
580.png	mp5            3    None      None      purple    
581.png	db             6    None      dot       blue      
582.png	revolver       7    disco     dot       blue      
583.png	ak47           4    None      None      red       
584.png	db             5    None      holo      blue      
585.png	db             3    leaf      None      blue      
586.png	mp5            5    None      acog      blue      
587.png	p90            None leaf      dot       blue      
588.png	mp5            4    None      acog      green     
589.png	revolver       6    pinata    None      blue      
590.png	p90            4    disco     holo      green     
591.png	db             2    dice      None      blue      
592.png	deagle         None leaf      dot       blue      
593.png	ak47           7    None      None      green     
594.png	ak47           6    None      None      red       
595.png	mp5            6    None      dot       green     
596.png	p90            1    pinata    dot       green     
597.png	revolver       4    leaf      holo      green     
598.png	deagle         4    dice      dot       green     
599.png	l96            5    None      None      purple    
600.png	l96            1    leaf      holo      green     
601.png	db             1    dice      None      blue      
602.png	spaz           3    None      dot       blue      
603.png	db             1    leaf      None      blue      
604.png	db             5    leaf      dot       blue      
605.png	spaz           5    dice      None      green     
606.png	p90            7    medal     None      blue      
607.png	l96            3    leaf      None      green     
608.png	spaz           2    medal     holo      green     
609.png	revolver       1    leaf      None      purple    
610.png	ak47           7    None      acog      green     
611.png	p90            2    None      holo      blue      
612.png	db             8    None      acog      green     
613.png	p90            1    disco     None      green     
614.png	db             7    pinata    acog      blue      
615.png	revolver       6    None      None      green     
616.png	spaz           4    disco     holo      blue      
617.png	db             4    leaf      None      green     
618.png	revolver       None medal     None      purple    
619.png	db             8    None      holo      green     
620.png	revolver       None medal     holo      green     
621.png	p90            None leaf      acog      purple    
622.png	spaz           8    dice      acog      green     
623.png	mp5            None None      dot       green     
624.png	db             7    leaf      None      green     
625.png	revolver       6    leaf      None      green     
626.png	db             None None      dot       red       
627.png	spaz           None dice      dot       blue      
628.png	db             7    None      acog      blue      
629.png	spaz           1    disco     None      purple    
630.png	db             4    None      holo      green     
631.png	revolver       5    None      None      green     
632.png	p90            6    disco     holo      blue      
633.png	mp5            4    medal     None      green     
634.png	hunting_rifle  7    None      None      purple    
635.png	hunting_rifle  1    disco     None      blue      
636.png	p90            None dice      acog      green     
637.png	l96            5    disco     acog      blue      
638.png	spaz           2    None      thermal   purple    
639.png	ak47           5    None      dot       green     
640.png	hunting_rifle  5    dice      acog      green     
641.png	db             None dice      dot       green     
642.png	db             3    leaf      acog      purple    
643.png	p90            5    None      None      blue      
644.png	rpg            3    disco     holo      red       
645.png	db             None None      holo      green     
646.png	mp5            None None      None      blue      
647.png	deagle         5    leaf      None      green     
648.png	deagle         1    None      None      green     
649.png	spaz           6    medal     acog      green     
650.png	deagle         1    pinata    dot       green     
651.png	spaz           1    None      None      green     
652.png	tar            1    None      acog      green     
653.png	p90            None leaf      None      green     
654.png	deagle         5    None      acog      blue      
655.png	revolver       5    medal     holo      green     
656.png	deagle         4    None      holo      blue      
657.png	deagle         1    medal     None      purple    
658.png	hunting_rifle  4    None      acog      green     
659.png	db             1    None      dot       blue      
660.png	deagle         2    dice      dot       green     
661.png	spaz           None None      None      purple    
662.png	deagle         7    dice      acog      green     
663.png	db             None None      None      green     
664.png	spaz           8    None      thermal   green     
665.png	deagle         None None      None      blue      
666.png	mp5            1    leaf      thermal   green     
667.png	mp5            3    None      None      green     
668.png	revolver       3    leaf      dot       green     
669.png	mp5            3    leaf      acog      purple    
670.png	p90            None medal     acog      blue      
671.png	revolver       1    None      holo      green     
672.png	deagle         2    leaf      acog      green     
673.png	mp5            8    None      dot       green     
674.png	revolver       4    None      holo      blue      
675.png	revolver       None leaf      dot       blue      
676.png	deagle         2    None      None      blue      
677.png	db             2    leaf      None      green     
678.png	mp5            None leaf      holo      blue      
679.png	deagle         1    dice      holo      blue      
680.png	p90            2    disco     None      green     
681.png	mp5            2    disco     thermal   purple    
682.png	deagle         2    None      None      purple    
683.png	spaz           None disco     dot       red       
684.png	mp5            2    leaf      None      green     
685.png	p90            4    medal     dot       green     
686.png	mp5            3    None      holo      red       
687.png	db             2    leaf      None      purple    
688.png	spaz           None medal     acog      red       
689.png	ak47           2    dice      None      blue      
690.png	l96            2    disco     holo      green     
691.png	ak47           4    leaf      holo      green     
692.png	p90            1    pinata    None      green     
693.png	deagle         8    leaf      None      green     
694.png	ak47           None dice      acog      blue      
695.png	mp5            1    disco     dot       blue      
696.png	db             1    pinata    holo      green     
697.png	revolver       None pinata    acog      blue      
698.png	revolver       1    dice      acog      blue      
699.png	spaz           None None      dot       blue      
700.png	deagle         None None      dot       purple    
701.png	deagle         6    leaf      thermal   blue      
702.png	db             1    leaf      holo      green     
703.png	hunting_rifle  None None      dot       green     
704.png	deagle         2    None      None      green     
705.png	db             9    dice      None      blue      
706.png	hunting_rifle  None None      dot       blue      
707.png	db             None None      acog      blue      
708.png	l96            7    None      acog      green     
709.png	hunting_rifle  None None      dot       blue      
710.png	p90            7    None      None      purple    
711.png	spaz           4    dice      holo      green     
712.png	ray_gun        None disco     None      blue      
713.png	spaz           7    None      dot       purple    
714.png	p90            1    disco     acog      red       
715.png	hunting_rifle  None medal     acog      green     
716.png	deagle         2    None      None      blue      
717.png	p90            5    None      None      blue      
718.png	revolver       None None      None      blue      
719.png	spaz           3    None      holo      blue      
720.png	deagle         1    None      dot       green     
721.png	l96            6    None      holo      purple    
722.png	revolver       6    None      None      green     
723.png	deagle         1    None      None      purple    
724.png	deagle         2    leaf      acog      purple    
725.png	ray_gun        2    None      None      green     
726.png	hunting_rifle  3    medal     acog      green     
727.png	spaz           2    leaf      acog      blue      
728.png	deagle         None None      acog      purple    
729.png	ak47           6    pinata    None      blue      
730.png	revolver       5    None      holo      blue      
731.png	deagle         3    None      None      blue      
732.png	mp5            6    None      None      purple    
733.png	p90            4    leaf      dot       green     
734.png	rpg            None None      dot       green     
735.png	spaz           1    leaf      None      green     
736.png	rpg            5    None      holo      green     
737.png	deagle         7    None      None      purple    
738.png	revolver       2    leaf      None      purple    
739.png	revolver       2    None      dot       blue      
740.png	db             None leaf      acog      purple    
741.png	hunting_rifle  5    None      dot       blue      
742.png	revolver       4    None      dot       green     
743.png	revolver       5    None      dot       purple    
744.png	p90            2    leaf      dot       purple    
745.png	mp5            2    None      holo      green     
746.png	revolver       3    dice      dot       blue      
747.png	db             1    disco     dot       green     
